"wrist_ib_id","datetime","wrist_st","unit"
"130000007EC0D641",2023-11-29 10:30:01.000,20.126,C
"130000007EC0D641",2023-11-29 10:30:31.000,19.626,C
"130000007EC0D641",2023-11-29 10:31:01.000,19.626,C
"130000007EC0D641",2023-11-29 10:31:31.000,19.626,C
"130000007EC0D641",2023-11-29 10:32:01.000,19.626,C
"130000007EC0D641",2023-11-29 10:32:31.000,19.626,C
"130000007EC0D641",2023-11-29 10:33:01.000,19.626,C
"130000007EC0D641",2023-11-29 10:33:31.000,19.626,C
"130000007EC0D641",2023-11-29 10:34:01.000,19.626,C
"130000007EC0D641",2023-11-29 10:34:31.000,19.626,C
"130000007EC0D641",2023-11-29 10:35:01.000,19.626,C
"130000007EC0D641",2023-11-29 10:35:31.000,19.626,C
"130000007EC0D641",2023-11-29 10:36:01.000,19.626,C
"130000007EC0D641",2023-11-29 10:36:31.000,19.125,C
"130000007EC0D641",2023-11-29 10:37:01.000,19.125,C
"130000007EC0D641",2023-11-29 10:37:31.000,19.125,C
"130000007EC0D641",2023-11-29 10:38:01.000,19.125,C
"130000007EC0D641",2023-11-29 10:38:31.000,19.125,C
"130000007EC0D641",2023-11-29 10:39:01.000,19.125,C
"130000007EC0D641",2023-11-29 10:39:31.000,19.125,C
"130000007EC0D641",2023-11-29 10:40:01.000,19.125,C
"130000007EC0D641",2023-11-29 10:40:31.000,19.125,C
"130000007EC0D641",2023-11-29 10:41:01.000,19.125,C
"130000007EC0D641",2023-11-29 10:41:31.000,19.125,C
"130000007EC0D641",2023-11-29 10:42:01.000,19.125,C
"130000007EC0D641",2023-11-29 10:42:31.000,19.125,C
"130000007EC0D641",2023-11-29 10:43:01.000,19.125,C
"130000007EC0D641",2023-11-29 10:43:31.000,19.125,C
"130000007EC0D641",2023-11-29 10:44:01.000,19.125,C
"130000007EC0D641",2023-11-29 10:44:31.000,19.125,C
"130000007EC0D641",2023-11-29 10:45:01.000,19.125,C
"130000007EC0D641",2023-11-29 10:45:31.000,19.125,C
"130000007EC0D641",2023-11-29 10:46:01.000,19.125,C
"130000007EC0D641",2023-11-29 10:46:31.000,19.125,C
"130000007EC0D641",2023-11-29 10:47:01.000,19.125,C
"130000007EC0D641",2023-11-29 10:47:31.000,19.125,C
"130000007EC0D641",2023-11-29 10:48:01.000,19.125,C
"130000007EC0D641",2023-11-29 10:48:31.000,19.125,C
"130000007EC0D641",2023-11-29 10:49:01.000,19.125,C
"130000007EC0D641",2023-11-29 10:49:31.000,19.125,C
"130000007EC0D641",2023-11-29 10:50:01.000,19.125,C
"130000007EC0D641",2023-11-29 10:50:31.000,21.127,C
"130000007EC0D641",2023-11-29 10:51:01.000,24.629,C
"130000007EC0D641",2023-11-29 10:51:31.000,26.129,C
"130000007EC0D641",2023-11-29 10:52:01.000,27.129,C
"130000007EC0D641",2023-11-29 10:52:31.000,27.629,C
"130000007EC0D641",2023-11-29 10:53:01.000,28.628,C
"130000007EC0D641",2023-11-29 10:53:31.000,28.628,C
"130000007EC0D641",2023-11-29 10:54:01.000,28.128,C
"130000007EC0D641",2023-11-29 10:54:31.000,28.128,C
"130000007EC0D641",2023-11-29 10:55:01.000,27.629,C
"130000007EC0D641",2023-11-29 10:55:31.000,27.629,C
"130000007EC0D641",2023-11-29 10:56:01.000,28.628,C
"130000007EC0D641",2023-11-29 10:56:31.000,28.628,C
"130000007EC0D641",2023-11-29 10:57:01.000,29.128,C
"130000007EC0D641",2023-11-29 10:57:31.000,29.628,C
"130000007EC0D641",2023-11-29 10:58:01.000,29.628,C
"130000007EC0D641",2023-11-29 10:58:31.000,30.127,C
"130000007EC0D641",2023-11-29 10:59:01.000,30.127,C
"130000007EC0D641",2023-11-29 10:59:31.000,30.127,C
"130000007EC0D641",2023-11-29 11:00:01.000,30.627,C
"130000007EC0D641",2023-11-29 11:00:31.000,31.127,C
"130000007EC0D641",2023-11-29 11:01:01.000,31.127,C
"130000007EC0D641",2023-11-29 11:01:31.000,31.626,C
"130000007EC0D641",2023-11-29 11:02:01.000,31.626,C
"130000007EC0D641",2023-11-29 11:02:31.000,31.626,C
"130000007EC0D641",2023-11-29 11:03:01.000,31.626,C
"130000007EC0D641",2023-11-29 11:03:31.000,32.126,C
"130000007EC0D641",2023-11-29 11:04:01.000,32.126,C
"130000007EC0D641",2023-11-29 11:04:31.000,32.126,C
"130000007EC0D641",2023-11-29 11:05:01.000,32.126,C
"130000007EC0D641",2023-11-29 11:05:31.000,32.126,C
"130000007EC0D641",2023-11-29 11:06:01.000,32.126,C
"130000007EC0D641",2023-11-29 11:06:31.000,32.126,C
"130000007EC0D641",2023-11-29 11:07:01.000,32.126,C
"130000007EC0D641",2023-11-29 11:07:31.000,32.126,C
"130000007EC0D641",2023-11-29 11:08:01.000,32.126,C
